# frame cx cy
0 253.0 179.0
1 253.0 180.0
2 253.0 181.0
3 257.0 183.0
4 268.2 180.1
5 272.0 180.4
6 275.8 180.7
7 279.6 181.0
8 283.3 181.3
9 287.1 181.6
10 290.8 181.9
11 294.5 182.2
12 298.2 182.6
13 301.9 182.9
14 305.5 183.3
15 309.2 183.6
16 312.8 184.0
17 316.3 184.4
18 319.9 184.7
19 323.4 185.1
20 326.9 185.6
21 330.3 186.0
22 333.8 186.4
23 337.1 186.9
24 340.5 187.4
25 343.8 187.9
26 347.0 188.4
27 350.2 188.9
28 353.4 189.5
29 356.5 190.1
30 359.6 190.6
31 362.6 191.3
32 365.6 191.9
33 368.5 192.6
34 371.3 193.2
35 374.1 194.0
36 376.9 194.7
37 379.5 195.4
38 382.2 196.2
39 384.7 197.0
40 387.2 197.9
41 389.6 198.8
42 391.9 199.7
43 394.2 200.6
44 396.4 201.5
45 398.5 202.5
46 400.6 203.6
47 407.0 213.0
48 402.0 210.0
49 399.0 208.0
50 397.0 206.0
51 396.0 205.0
52 393.0 203.0
53 392.0 201.0
54 414.1 213.0
55 415.4 214.4
56 408.0 206.0
57 408.0 205.0
58 408.0 204.0
59 411.0 210.0
60 417.0 209.0
61 417.0 209.0
62 423.0 224.9
63 420.0 215.0
64 420.0 214.0
65 420.0 213.0
66 420.0 212.0
67 422.0 217.0
68 424.0 222.0
69 424.0 222.0
70 425.0 222.0
71 426.0 225.0
72 427.0 229.0
73 428.0 233.0
74 429.0 236.0
75 431.0 239.0
76 432.0 242.0
77 432.0 243.0
78 432.0 243.0
79 431.0 244.0
80 429.0 246.0
81 427.0 248.0
82 425.0 249.0
83 422.0 250.0
84 435.7 271.4
85 436.2 274.1
86 436.7 276.8
87 437.3 279.5
88 437.9 282.3
89 438.5 285.2
90 439.2 288.1
91 439.8 291.0
92 440.6 294.0
93 441.3 297.1
94 442.1 300.2
95 443.0 303.4
96 443.9 306.6
97 444.8 309.9
98 445.8 313.2
99 446.9 316.6
100 448.0 320.0
101 448.0 309.0
102 448.0 309.0
103 448.0 309.0
104 453.1 334.3
105 454.5 338.0
106 456.0 341.7
107 457.5 345.5
108 459.1 349.3
109 460.8 353.2
110 462.4 357.2
111 464.2 361.1
112 465.9 365.1
113 467.8 369.2
114 469.6 373.3
115 471.5 377.4
116 473.5 381.5
117 475.5 385.7
118 477.5 389.9
119 475.0 401.0
120 481.6 398.5
121 483.8 402.8
122 485.9 407.1
123 488.1 411.5
124 490.3 415.8
125 492.5 420.2
126 494.8 424.7
127 497.1 429.1
128 495.0 432.0
129 497.0 426.0
130 500.0 420.0
131 506.4 447.0
132 508.7 451.6
133 511.1 456.1
134 513.5 460.6
135 515.9 465.2
136 518.3 469.7
137 520.7 474.3
138 523.2 478.9
139 525.6 483.4
140 528.0 488.0
141 530.4 492.6
