# frame cx cy
0 411.0 145.0
1 411.0 143.0
2 410.0 140.0
3 410.0 138.0
4 410.0 139.0
5 410.0 140.0
6 409.0 141.0
7 409.0 142.0
8 409.0 143.0
9 409.0 144.0
10 409.0 146.0
11 409.0 149.0
12 409.0 151.0
13 408.0 153.0
14 408.0 155.0
15 408.0 157.0
16 456.0 179.0
17 456.0 181.0
18 456.0 183.0
19 456.0 185.0
20 455.0 187.0
21 455.0 188.0
22 455.0 189.0
23 454.0 190.0
24 454.0 190.0
25 454.0 189.0
26 454.0 188.0
27 453.0 188.0
28 453.0 187.0
29 453.0 186.0
30 453.0 186.0
31 453.0 185.0
32 452.0 184.0
33 452.0 184.0
34 452.0 183.0
35 451.0 182.0
36 451.0 182.0
37 451.0 182.0
38 450.0 182.0
39 450.0 182.0
40 450.0 181.0
41 450.0 181.0
42 449.0 181.0
43 449.0 181.0
44 449.0 181.0
45 449.0 181.0
46 448.0 181.0
47 448.0 181.0
48 448.0 181.0
49 447.0 181.0
50 447.0 181.0
51 447.0 181.0
52 447.0 181.0
53 446.0 181.0
54 446.0 182.0
55 446.0 182.0
56 446.0 183.0
57 446.0 183.0
58 446.0 184.0
59 445.0 185.0
60 445.0 185.0
61 445.0 186.0
62 444.0 187.0
63 444.0 188.0
64 444.0 188.0
65 444.0 189.0
66 444.0 190.0
67 443.0 191.0
68 443.0 192.0
69 443.0 193.0
70 443.0 194.0
71 443.0 195.0
72 442.0 196.0
73 440.0 197.0
74 438.0 198.0
75 436.0 199.0
76 433.0 200.0
77 430.0 201.0
78 428.0 202.0
79 426.0 203.0
80 424.0 203.0
81 422.0 204.0
82 420.0 204.0
83 418.0 205.0
84 416.0 205.0
85 414.0 205.0
86 412.0 205.0
87 409.0 205.0
88 408.0 205.0
89 406.0 205.0
90 403.0 205.0
91 401.0 204.0
92 398.0 205.0
93 395.0 205.0
94 392.0 205.0
95 389.0 205.0
96 386.0 205.0
97 381.0 205.0
98 375.0 206.0
99 369.0 206.0
100 362.0 206.0
101 355.0 206.0
102 348.0 207.0
103 340.0 208.0
104 334.0 208.0
105 329.0 209.0
106 326.0 209.0
107 322.0 210.0
108 318.0 211.0
109 314.0 212.0
110 312.0 213.0
111 310.0 214.0
112 307.0 214.0
113 305.0 215.0
114 302.0 215.0
115 300.0 216.0
116 298.0 217.0
117 295.0 219.0
118 293.0 222.0
119 291.0 225.0
120 290.0 228.0
121 289.0 231.0
122 288.0 233.0
123 287.0 235.0
124 285.0 237.0
125 284.0 238.0
126 282.0 240.0
127 281.0 242.0
128 279.0 244.0
129 278.0 246.0
130 276.0 248.0
131 274.0 250.0
132 273.0 251.0
133 271.0 252.0
134 269.0 254.0
135 267.0 256.0
136 265.0 256.0
137 263.0 257.0
138 260.0 257.0
139 257.0 257.0
140 255.0 257.0
141 252.0 257.0
142 249.0 257.0
143 247.0 257.0
144 245.0 257.0
145 243.0 257.0
146 241.0 257.0
147 239.0 256.0
148 238.0 256.0
149 238.0 256.0
150 238.0 256.0
151 239.0 256.0
152 238.0 256.0
153 238.0 257.0
154 238.0 257.0
155 237.0 257.0
156 237.0 257.0
157 236.0 257.0
158 235.0 256.0
159 235.0 256.0
160 234.0 255.0
161 233.0 254.0
162 232.0 253.0
163 232.0 252.0
164 232.0 251.0
165 231.0 251.0
166 231.0 251.0
167 231.0 251.0
168 231.0 251.0
169 231.0 251.0
170 231.0 251.0
171 231.0 251.0
172 232.0 251.0
173 232.0 252.0
174 232.0 252.0
175 232.0 253.0
176 233.0 253.0
177 233.0 253.0
178 233.0 254.0
179 234.0 254.0
180 233.0 255.0
181 233.0 255.0
182 232.0 256.0
183 232.0 256.0
184 231.0 257.0
185 230.0 258.0
186 230.0 258.0
187 229.0 259.0
188 228.0 260.0
189 228.0 261.0
190 227.0 262.0
191 227.0 264.0
192 226.0 265.0
193 226.0 266.0
194 225.0 267.0
195 224.0 269.0
196 223.0 270.0
197 221.0 272.0
198 220.0 273.0
199 217.0 275.0
200 215.0 277.0
201 213.0 279.0
202 211.0 281.0
203 209.0 283.0
204 207.0 285.0
205 205.0 288.0
206 203.0 291.0
207 202.0 294.0
208 199.0 297.0
209 198.0 299.0
210 197.0 301.0
211 195.0 303.0
212 193.0 305.0
213 192.0 307.0
214 191.0 309.0
215 190.0 311.0
216 188.0 313.0
217 186.0 315.0
218 185.0 317.0
219 183.0 319.0
220 181.0 320.0
221 179.0 321.0
222 177.0 322.0
223 177.0 323.0
224 178.0 325.0
225 178.0 326.0
226 179.0 327.0
227 179.0 328.0
228 180.0 329.0
229 180.0 329.0
230 181.0 329.0
231 181.0 329.0
232 182.0 329.0
233 182.0 329.0
234 183.0 329.0
235 183.0 328.0
236 184.0 326.0
237 185.0 325.0
238 185.0 323.0
239 186.0 321.0
240 187.0 319.0
241 187.0 317.0
242 188.0 315.0
243 188.0 313.0
244 189.0 310.0
245 189.0 307.0
246 190.0 304.0
247 191.0 302.0
248 191.0 301.0
249 191.0 300.0
250 192.0 299.0
251 192.0 299.0
252 193.0 298.0
253 193.0 297.0
254 194.0 296.0
255 194.0 296.0
256 194.0 296.0
257 195.0 295.0
258 195.0 295.0
259 196.0 295.0
260 196.0 295.0
261 197.0 295.0
262 198.0 295.0
263 198.0 296.0
264 199.0 297.0
265 199.0 298.0
266 200.0 299.0
267 200.0 300.0
268 201.0 301.0
269 201.0 302.0
270 202.0 303.0
271 203.0 303.0
272 203.0 304.0
273 203.0 306.0
274 203.0 306.0
275 204.0 307.0
276 204.0 308.0
277 205.0 310.0
278 205.0 311.0
279 205.0 311.0
280 206.0 312.0
281 206.0 312.0
282 207.0 312.0
283 207.0 313.0
284 207.0 313.0
285 208.0 314.0
286 208.0 314.0
287 208.0 315.0
288 208.0 315.0
289 209.0 316.0
290 209.0 316.0
291 209.0 316.0
292 209.0 317.0
293 209.0 318.0
294 210.0 318.0
295 210.0 318.0
296 210.0 319.0
297 211.0 319.0
298 211.0 320.0
299 212.0 320.0
300 212.0 320.0
301 212.0 320.0
302 212.0 319.0
303 212.0 319.0
304 212.0 319.0
305 213.0 319.0
306 213.0 319.0
307 214.0 320.0
308 214.0 320.0
309 215.0 322.0
310 215.0 323.0
311 216.0 324.0
312 216.0 324.0
313 217.0 325.0
314 217.0 325.0
315 217.0 325.0
316 217.0 324.0
317 218.0 324.0
318 218.0 324.0
319 218.0 323.0
320 219.0 323.0
321 219.0 323.0
322 219.0 323.0
323 219.0 323.0
324 217.0 319.0
325 218.0 318.0
326 218.0 317.0
327 218.0 315.0
328 218.0 315.0
329 219.0 315.0
330 218.0 314.0
331 219.0 314.0
332 218.0 312.0
333 219.0 312.0
334 219.0 311.0
335 219.0 310.0
336 218.0 310.0
337 218.0 309.0
338 218.0 309.0
339 218.0 308.0
